url,mainBranch,latestCommitSha,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount,searchResultCount
https://github.com/alibaba/fastjson,master,5e3ede7923bd4b7930b8f785b900e80753b97c01,763,388,635,5,14,5,85,74,14,0
https://github.com/MovingBlocks/Terasology,develop,387497a2ea91b25339b3cbe8b18338edd7d3d1f5,701,325,3680,10,7,49,233,831,2,0
https://github.com/0xdata/h2o,master,c5e4bfd7e1b1ecc59b5d9c40eb0f56bfabf646be,694,94,10000,80,3,29,0,0,0,0
https://github.com/apache/lucene-solr,trunk,9e87821edeb3e24ca8dedaecf856f6510d61d0d3,692,454,10000,88,27,17,0,0,19,0
https://github.com/nathanmarz/storm-starter,master,917a4c5c171009af3b130d09339355f6310a2042,695,583,120,3,0,12,0,0,6,0
https://github.com/derekbrameyer/android-betterpickers,master,0a72367b478970b1731822e78790a158a4f7ebb4,740,144,154,2,11,4,31,44,4,0
https://github.com/mongodb/mongo-hadoop,master,29788439cbc8cc9a45910ceba316a70049a8b4e8,689,243,806,24,6,37,0,0,14,0
https://github.com/JakeWharton/u2020,master,543eaea54f04fd4397aa74f4578670e279cc857a,680,74,78,1,0,7,1,19,0,0
https://github.com/castorflex/SmoothProgressBar,master,9198cb9201268cec63e69d87cdbfb879a962f827,708,193,74,3,5,3,5,26,0,0
https://github.com/JakeWharton/hugo,master,de887a549a14fba7e3735ce4c202e15502c78a43,702,45,58,3,2,6,7,18,0,0
https://github.com/apache/mahout,trunk,add3038b35029cf886ac907822016c91ec4b4278,668,379,3014,4,13,9,0,0,13,0
https://github.com/novoda/ImageLoader,develop,a82512b76c43e271a15717e0697055cd9e3d9031,678,218,596,8,33,25,21,143,0,0
https://github.com/JakeWharton/scalpel,master,97299acd1cc7b4138af714f1ed0bce47e9ce516d,684,51,58,2,3,6,5,13,1,0
https://github.com/RobotiumTech/robotium,master,ee7d989c95f2cf380935f7a117d7f9345820cbf7,664,318,1061,1,51,29,0,0,0,0
https://github.com/maurycyw/StaggeredGridView,master,06dbc841a6330143f114eba82566d25b5a808c61,758,417,60,2,0,9,27,52,3,0
https://github.com/ansjsun/ansj_seg,master,ab56d87c9799e543e4141840809b52aa27932d87,671,419,243,3,1,8,0,115,0,0
https://github.com/hector-client/hector,master,0c760d9347ebf9bdaeec5fe195f175f674590909,655,292,2142,44,37,68,127,535,16,0
https://github.com/mortardata/mortar-recsys,master,617fbf66a8e8fb7738354c224760dc2419ed0c13,654,55,50,2,0,4,1,8,1,0
https://github.com/eishay/jvm-serializers,master,3ec217ec19aff74654b40a47c010d57a44996efb,653,98,454,3,0,14,7,38,4,0
https://github.com/koush/UrlImageViewHelper,master,a9897afbf0277727810158c9739c3ddd9cf15899,690,213,154,1,2,10,13,67,2,0
