url,mainBranch,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount
https://github.com/mlldaniel/sample_app,master,0,0,8,1,0,1,0,0,0
https://github.com/fredtav/sample_app,master,1,0,5,1,0,1,0,0,0
https://github.com/sammho/sample_app,master,1,0,25,1,0,1,0,0,0
https://github.com/thackoun/sample_app,master,1,0,7,1,0,1,0,0,0
https://github.com/mhchung/sample_app,master,0,0,7,1,0,1,0,0,0
https://github.com/maltepet/sample_app,master,0,0,7,1,0,1,0,0,0
https://github.com/Zlodimir/StalinNet,master,0,0,99,1,0,1,0,0,0
https://github.com/iginosms/project_sun,master,0,0,10,1,0,3,0,0,0
https://github.com/sanchit1/sampleapp,master,1,0,13,1,0,2,0,0,0
https://github.com/stephen1234/sample_app,master,1,0,7,1,0,0,0,0,0
https://github.com/ryojiosawa/sample_app,master,1,0,18,1,0,1,1,3,0
https://github.com/jeanzhang/sample_app,master,1,0,12,1,0,1,0,0,0
https://github.com/the2baddavid/web_comic,master,2,1,68,1,0,2,1,8,1
https://github.com/milentije/sample_app,master,1,0,13,2,0,1,0,0,0
https://github.com/marekmachula/new_sample_app,master,1,0,43,1,0,1,0,0,0
https://github.com/AlexanderPiehl/sample_app,master,1,0,5,1,0,1,0,0,0
https://github.com/Supratik/sample_app,master,1,0,11,2,0,0,0,0,0
https://github.com/caseywhalen/sample_app,master,1,0,10,1,0,0,0,0,0
https://github.com/hnewton/sample_app,master,1,0,24,1,0,1,0,0,0
https://github.com/the2baddavid/pizza-shop,master,1,0,4,1,0,1,0,0,0
https://github.com/gredic/sample_app,master,0,0,13,1,0,1,0,0,0
https://github.com/manishym/theWeightGraph,master,1,0,5,1,0,1,0,0,0
https://github.com/cbames/Poor-Yorick,master,1,0,8,1,0,1,0,0,0
https://github.com/andrewbrown/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/lzk859250/sample_app,master,1,0,9,2,0,1,0,0,0
https://github.com/Charadzey/SampleApp3,master,1,0,12,3,0,1,0,0,0
https://github.com/NewItSolutions/New-it-Solutions-Web-page,master,1,0,19,1,0,2,0,0,0
https://github.com/haseebjaved/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/hsingh09/sample_app,master,1,0,5,1,0,1,0,0,0
https://github.com/tm75018/sample_app,master,1,0,9,1,0,1,0,0,0
https://github.com/mattbradburyuk/sample_app,master,0,0,19,1,0,1,0,0,0
https://github.com/saloveronika/FootballNews,master,1,0,8,1,0,0,0,0,0
